Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Poc Katalon,,,2018-08-30 14:51:54,2018-08-30 14:51:55,"1,366s",FAILED
,,,,,,
Test Cases/OPUS_UI/Create Family,,,2018-08-30 14:51:54,2018-08-30 14:51:55,"0,868s",FAILED
waitForPageLoad,,,2018-08-30 14:51:55,2018-08-30 14:51:55,"0,535s",FAILED
