Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Poc Katalon,,,2018-08-30 14:55:48,2018-08-30 14:55:49,"1,365s",FAILED
,,,,,,
Test Cases/OPUS_UI/Create Family,,,2018-08-30 14:55:49,2018-08-30 14:55:49,"0,870s",FAILED
waitForPageLoad,,,2018-08-30 14:55:49,2018-08-30 14:55:49,"0,529s",FAILED
