Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Poc Katalon,,,2018-08-30 14:56:18,2018-08-30 14:56:19,"1,475s",FAILED
,,,,,,
Test Cases/OPUS_UI/Create Family,,,2018-08-30 14:56:18,2018-08-30 14:56:19,"0,923s",FAILED
waitForPageLoad,,,2018-08-30 14:56:19,2018-08-30 14:56:19,"0,552s",FAILED
